Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.226.1-192.168.226.135-56424-80-6,192.168.226.1,56424,192.168.226.135,80,6,10/05/2023 11:23:31 PM,199220,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10.039152695512499,199220.0,0.0,199220.0,199220.0,199220.0,199220.0,0.0,199220.0,199220.0,0,0,0,0,0,0,0,0,0,52,0,10.039152695512499,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,513,0,0,20,0,0,0,0,1.683728611777075E15,0.0,1.683728611777075E15,1.683728611777075E15,NeedManualLabel
34.117.65.55-192.168.226.135-443-47430-6,34.117.65.55,443,192.168.226.135,47430,6,10/05/2023 11:23:46 PM,119798,3,0,48.0,0.0,24.0,0.0,16.0,13.856406460551018,0,0,0,0,400.67446868895973,25.042154293059983,59899.0,84427.1354601114,119598.0,200.0,119798.0,59899.0,84427.1354601114,119598.0,200.0,0,0,0,0,0,1,0,0,0,60,0,25.042154293059983,0.0,0.0,24.0,18.0,12.0,144.0,0,0,0,2,3,0,0,0,0.0,24.0,16.0,0.0,0,0,0,0,0,0,1,16,0,0,64240,0,1,20,0,0,0,0,1.683728626172758E15,0.0,1.683728626172758E15,1.683728626172758E15,NeedManualLabel
192.168.226.1-192.168.226.135-56373-80-6,192.168.226.1,56373,192.168.226.135,80,6,10/05/2023 11:23:31 PM,392283,2,0,378.0,0.0,378.0,0.0,189.0,267.28636328851496,0,0,0,0,963.5900612567967,5.098360112469824,392283.0,0.0,392283.0,392283.0,392283.0,392283.0,0.0,392283.0,392283.0,0,0,0,0,0,1,0,0,0,40,0,5.098360112469824,0.0,0.0,378.0,252.0,218.23840175367854,47628.0,1,0,0,1,2,0,0,0,0.0,378.0,189.0,0.0,0,0,0,0,0,0,1,189,0,0,513,0,0,20,0,0,0,0,1.683728611151541E15,0.0,1.683728611151541E15,1.683728611151541E15,NeedManualLabel
192.168.226.1-192.168.226.135-56606-80-6,192.168.226.1,56606,192.168.226.135,80,6,10/05/2023 11:23:43 PM,19091,2,0,346.0,0.0,346.0,0.0,173.0,244.65894629054543,0,0,0,0,18123.723220365617,104.76140589806715,19091.0,0.0,19091.0,19091.0,19091.0,19091.0,0.0,19091.0,19091.0,0,0,0,0,0,1,0,0,0,40,0,104.76140589806715,0.0,0.0,346.0,230.66666666666669,199.7631931396105,39905.33333333333,1,0,0,1,2,0,0,0,0.0,346.0,173.0,0.0,0,0,0,0,0,0,1,173,0,0,513,0,0,20,0,0,0,0,1.683728623664746E15,0.0,1.683728623664746E15,1.683728623664746E15,NeedManualLabel
192.168.226.1-192.168.226.135-56337-80-6,192.168.226.1,56337,192.168.226.135,80,6,10/05/2023 11:23:31 PM,94483,2,0,342.0,0.0,342.0,0.0,171.0,241.83051916579925,0,0,0,0,3619.6987817914332,21.167829133283238,94483.0,0.0,94483.0,94483.0,94483.0,94483.0,0.0,94483.0,94483.0,0,0,0,0,0,1,0,0,0,40,0,21.167829133283238,0.0,0.0,342.0,228.0,197.45379206285202,38988.0,1,0,0,1,2,0,0,0,0.0,342.0,171.0,0.0,0,0,0,0,0,0,1,171,0,0,513,0,0,20,0,0,0,0,1.683728611052208E15,0.0,1.683728611052208E15,1.683728611052208E15,NeedManualLabel
192.168.226.1-192.168.226.135-56611-80-6,192.168.226.1,56611,192.168.226.135,80,6,10/05/2023 11:23:44 PM,39781,2,0,342.0,0.0,342.0,0.0,171.0,241.83051916579925,0,0,0,0,8597.068952515021,50.27525703225158,39781.0,0.0,39781.0,39781.0,39781.0,39781.0,0.0,39781.0,39781.0,0,0,0,0,0,1,0,0,0,40,0,50.27525703225158,0.0,0.0,342.0,228.0,197.45379206285202,38988.0,1,0,0,1,2,0,0,0,0.0,342.0,171.0,0.0,0,0,0,0,0,0,1,171,0,0,513,0,0,20,0,0,0,0,1.683728624613991E15,0.0,1.683728624613991E15,1.683728624613991E15,NeedManualLabel
192.168.226.1-192.168.226.135-56425-80-6,192.168.226.1,56425,192.168.226.135,80,6,10/05/2023 11:23:31 PM,199510,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10.024560172422435,199510.0,0.0,199510.0,199510.0,199510.0,199510.0,0.0,199510.0,199510.0,0,0,0,0,0,0,0,0,0,52,0,10.024560172422435,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,513,0,0,20,0,0,0,0,1.683728611776868E15,0.0,1.683728611776868E15,1.683728611776868E15,NeedManualLabel
192.168.226.1-192.168.226.135-57571-80-6,192.168.226.1,57571,192.168.226.135,80,6,10/05/2023 11:25:24 PM,155511,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,12.860826565323352,155511.0,0.0,155511.0,155511.0,155511.0,155511.0,0.0,155511.0,155511.0,0,0,0,0,0,0,0,0,0,40,0,12.860826565323352,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,511,0,0,20,0,0,0,0,1.683728724397145E15,0.0,1.683728724397145E15,1.683728724397145E15,NeedManualLabel
192.168.226.1-192.168.226.135-56383-80-6,192.168.226.1,56383,192.168.226.135,80,6,10/05/2023 11:23:31 PM,436273,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.584285527639803,436273.0,0.0,436273.0,436273.0,436273.0,436273.0,0.0,436273.0,436273.0,0,0,0,0,0,0,0,0,0,52,0,4.584285527639803,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,513,0,0,20,0,0,0,0,1.683728611546337E15,0.0,1.683728611546337E15,1.683728611546337E15,NeedManualLabel
192.168.226.1-192.168.226.135-57572-80-6,192.168.226.1,57572,192.168.226.135,80,6,10/05/2023 11:25:24 PM,471,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4246.284501061571,471.0,0.0,471.0,471.0,471.0,471.0,0.0,471.0,471.0,0,0,0,0,0,0,0,0,0,40,0,4246.284501061571,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,511,0,0,20,0,0,0,0,1.683728724397049E15,0.0,1.683728724397049E15,1.683728724397049E15,NeedManualLabel
